#options: 2520x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=7000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:68 out:69 type:b dur:2 cpbdur:2 q:25.17 aq:20.87 tex:149195 mv:68028 misc:8849 imb:2549 pmb:5053 smb:3142 d:- ref:0 ;
in:73 out:70 type:P dur:2 cpbdur:2 q:25.82 aq:19.40 tex:308207 mv:80358 misc:4979 imb:3802 pmb:5757 smb:1185 d:t ref:0 ;
in:71 out:71 type:B dur:2 cpbdur:2 q:25.56 aq:20.12 tex:123557 mv:67630 misc:9741 imb:1114 pmb:6043 smb:3587 d:s ref:0 ;
in:70 out:72 type:b dur:2 cpbdur:2 q:25.43 aq:21.23 tex:57377 mv:45439 misc:10512 imb:645 pmb:4582 smb:5517 d:s ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:25.69 aq:21.62 tex:37160 mv:34592 misc:9968 imb:395 pmb:3707 smb:6642 d:- ref:0 ;
in:76 out:74 type:P dur:2 cpbdur:2 q:26.06 aq:19.29 tex:313200 mv:79310 misc:5090 imb:3817 pmb:5719 smb:1208 d:s ref:0 ;
in:74 out:75 type:B dur:2 cpbdur:2 q:25.90 aq:20.66 tex:90543 mv:59614 misc:10131 imb:1076 pmb:5188 smb:4480 d:s ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:25.98 aq:21.90 tex:32337 mv:32341 misc:9602 imb:326 pmb:3399 smb:7019 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:26.55 aq:19.76 tex:286604 mv:78843 misc:5609 imb:3884 pmb:5347 smb:1513 d:t ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:26.31 aq:20.84 tex:98204 mv:65118 misc:9326 imb:1164 pmb:5829 smb:3751 d:s ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:26.19 aq:21.70 tex:41983 mv:52367 misc:9994 imb:632 pmb:5327 smb:4785 d:s ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:26.43 aq:22.31 tex:32284 mv:31177 misc:9499 imb:371 pmb:3186 smb:7187 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:26.94 aq:20.25 tex:263221 mv:77549 misc:5902 imb:3890 pmb:5240 smb:1614 d:t ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:26.75 aq:21.21 tex:88882 mv:59626 misc:9620 imb:1171 pmb:5295 smb:4278 d:s ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:26.65 aq:22.50 tex:39163 mv:44571 misc:10018 imb:610 pmb:4582 smb:5552 d:s ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:26.84 aq:22.50 tex:31451 mv:30092 misc:9193 imb:376 pmb:2991 smb:7377 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:27.17 aq:20.58 tex:256048 mv:75965 misc:6195 imb:4017 pmb:4935 smb:1792 d:t ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:27.06 aq:21.45 tex:89323 mv:59357 misc:9664 imb:1230 pmb:5039 smb:4475 d:s ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:27.00 aq:22.83 tex:36366 mv:46559 misc:10019 imb:660 pmb:4775 smb:5309 d:s ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:27.11 aq:22.84 tex:32797 mv:31298 misc:9097 imb:399 pmb:3004 smb:7341 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:27.08 aq:20.67 tex:271493 mv:75055 misc:6340 imb:3991 pmb:4823 smb:1930 d:s ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:27.13 aq:21.64 tex:99560 mv:62405 misc:10251 imb:1335 pmb:4844 smb:4565 d:s ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:27.15 aq:23.04 tex:41895 mv:41303 misc:9898 imb:554 pmb:3766 smb:6424 d:s ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:27.10 aq:22.67 tex:36809 mv:35442 misc:9397 imb:458 pmb:3171 smb:7115 d:- ref:0 ;
in:94 out:93 type:P dur:2 cpbdur:2 q:26.68 aq:19.90 tex:296729 mv:78558 misc:5537 imb:4158 pmb:5161 smb:1425 d:s ref:0 ;
in:93 out:94 type:b dur:2 cpbdur:2 q:26.88 aq:22.65 tex:46970 mv:40972 misc:9786 imb:530 pmb:3800 smb:6414 d:s ref:0 ;
in:96 out:95 type:P dur:2 cpbdur:2 q:26.58 aq:19.85 tex:213385 mv:66038 misc:7793 imb:2708 pmb:5408 smb:2628 d:s ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:26.63 aq:22.45 tex:37686 mv:33721 misc:9113 imb:440 pmb:3004 smb:7300 d:s ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:26.46 aq:19.74 tex:447489 mv:83130 misc:3445 imb:5858 pmb:4240 smb:646 d:s ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:26.52 aq:20.83 tex:111387 mv:70743 misc:9926 imb:1411 pmb:5241 smb:4092 d:s ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:26.55 aq:21.79 tex:52888 mv:47679 misc:10049 imb:717 pmb:4137 smb:5890 d:s ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:26.49 aq:21.79 tex:43496 mv:39254 misc:9938 imb:482 pmb:3646 smb:6616 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:26.13 aq:19.38 tex:403158 mv:85785 misc:3561 imb:5015 pmb:5080 smb:649 d:s ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:26.29 aq:20.62 tex:108362 mv:72045 misc:9625 imb:1456 pmb:5438 smb:3850 d:s ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:26.38 aq:21.65 tex:53562 mv:49351 misc:10343 imb:770 pmb:4360 smb:5614 d:s ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:26.21 aq:21.56 tex:40673 mv:40740 misc:10003 imb:532 pmb:3782 smb:6430 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:25.86 aq:19.40 tex:350723 mv:86575 misc:3678 imb:4341 pmb:5702 smb:701 d:s ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:25.99 aq:20.39 tex:107756 mv:72577 misc:9707 imb:1384 pmb:5709 smb:3651 d:s ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:26.06 aq:21.28 tex:48396 mv:48130 misc:10370 imb:610 pmb:4437 smb:5697 d:s ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:25.93 aq:21.09 tex:41186 mv:41022 misc:10216 imb:525 pmb:3999 smb:6220 d:- ref:0 ;
in:111 out:109 type:P dur:2 cpbdur:2 q:25.69 aq:19.19 tex:345291 mv:86830 misc:3927 imb:4042 pmb:5910 smb:792 d:s ref:0 ;
in:109 out:110 type:B dur:2 cpbdur:2 q:25.80 aq:20.77 tex:62694 mv:50736 misc:10330 imb:674 pmb:4535 smb:5535 d:s ref:0 ;
in:110 out:111 type:b dur:2 cpbdur:2 q:25.75 aq:21.13 tex:65528 mv:54033 misc:10255 imb:908 pmb:4885 smb:4951 d:- ref:0 ;
in:112 out:112 type:P dur:2 cpbdur:2 q:25.62 aq:19.01 tex:187173 mv:62974 misc:7685 imb:1877 pmb:6279 smb:2588 d:s ref:0 ;
in:115 out:113 type:P dur:2 cpbdur:2 q:25.66 aq:19.07 tex:346605 mv:85695 misc:3724 imb:4031 pmb:6020 smb:693 d:s ref:0 ;
in:113 out:114 type:B dur:2 cpbdur:2 q:25.63 aq:20.78 tex:65058 mv:53207 misc:10271 imb:781 pmb:4609 smb:5354 d:s ref:0 ;
in:114 out:115 type:b dur:2 cpbdur:2 q:25.65 aq:21.21 tex:66483 mv:53185 misc:10268 imb:895 pmb:4886 smb:4963 d:- ref:0 ;
in:118 out:116 type:P dur:2 cpbdur:2 q:25.76 aq:19.29 tex:334045 mv:84879 misc:4620 imb:3469 pmb:6254 smb:1021 d:s ref:0 ;
in:116 out:117 type:B dur:2 cpbdur:2 q:25.70 aq:20.30 tex:78052 mv:57536 misc:10132 imb:789 pmb:5022 smb:4933 d:s ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:25.73 aq:21.46 tex:56228 mv:53031 misc:10437 imb:714 pmb:4832 smb:5198 d:- ref:0 ;
in:120 out:119 type:P dur:2 cpbdur:2 q:25.82 aq:19.23 tex:248916 mv:78871 misc:5413 imb:2994 pmb:6496 smb:1254 d:s ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:25.79 aq:21.38 tex:41418 mv:42805 misc:9953 imb:504 pmb:4002 smb:6238 d:t ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:25.81 aq:19.38 tex:395531 mv:90923 misc:2898 imb:4269 pmb:6039 smb:436 d:s ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:25.82 aq:20.66 tex:125938 mv:76578 misc:9124 imb:1278 pmb:6205 smb:3261 d:s ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:25.82 aq:21.67 tex:53796 mv:53510 misc:10310 imb:707 pmb:4810 smb:5227 d:s ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:25.82 aq:21.39 tex:49459 mv:46525 misc:10432 imb:567 pmb:4418 smb:5759 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:25.80 aq:19.51 tex:387457 mv:90537 misc:3062 imb:3957 pmb:6259 smb:528 d:s ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:25.80 aq:20.80 tex:119357 mv:74362 misc:9257 imb:1320 pmb:5930 smb:3494 d:s ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:25.81 aq:21.72 tex:53739 mv:52888 misc:10293 imb:587 pmb:4877 smb:5280 d:s ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:25.80 aq:21.69 tex:48549 mv:45619 misc:10176 imb:540 pmb:4305 smb:5899 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:25.73 aq:19.60 tex:397174 mv:91525 misc:3093 imb:4074 pmb:6173 smb:497 d:s ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:25.76 aq:20.69 tex:129823 mv:77048 misc:9105 imb:1438 pmb:5980 smb:3326 d:s ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:25.78 aq:21.52 tex:58842 mv:55759 misc:10327 imb:714 pmb:4930 smb:5100 d:s ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:25.74 aq:21.41 tex:48634 mv:45781 misc:10257 imb:609 pmb:4215 smb:5920 d:- ref:0 ;
in:136 out:133 type:P dur:2 cpbdur:2 q:25.72 aq:19.62 tex:416667 mv:93895 misc:2582 imb:4406 pmb:5960 smb:378 d:s ref:0 ;
in:134 out:134 type:B dur:2 cpbdur:2 q:25.73 aq:20.83 tex:141304 mv:82214 misc:8898 imb:1581 pmb:6085 smb:3078 d:s ref:0 ;
in:133 out:135 type:b dur:2 cpbdur:2 q:25.73 aq:21.49 tex:61590 mv:58994 misc:10376 imb:740 pmb:5210 smb:4794 d:s ref:0 ;
